endTime,artistName,trackName,msPlayed
2021-12-29 05:28,Adele,I'll Be Waiting,241351
2021-12-29 05:31,Taylor Swift,willow,214706
2021-12-29 05:36,Adele,Someone Like You,285240
2021-12-29 05:41,Lata Mangeshkar,Bhor Bhaye Panghat Pe,328866
2021-12-29 05:44,Camila Cabello,Don't Go Yet,164842
2021-12-29 05:48,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-29 05:52,Céline Dion,I Surrender,21748
2021-12-29 05:52,Lorne Balfe,"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",7980
2021-12-29 05:52,Adele,Easy On Me,224694
2021-12-29 05:57,Lorne Balfe,"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",240145
2021-12-29 06:02,Adele,Love In The Dark,285935
2021-12-29 06:50,Taylor Swift,august,16760
2021-12-29 07:10,Lady Gaga,Shallow - Radio Edit,217212
2021-12-29 07:13,Lea Salonga,A Whole New World,160800
2021-12-29 07:17,Adele,All I Ask,271800
2021-12-29 07:30,Taylor Swift,evermore (feat. Bon Iver),62103
2021-12-29 07:46,Taylor Swift,evermore (feat. Bon Iver),242089
2021-12-29 07:50,Lata Mangeshkar,Bhor Bhaye Panghat Pe,216571
2021-12-29 07:52,Lata Mangeshkar,Bhor Bhaye Panghat Pe,106779
2021-12-29 07:56,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-29 08:00,Bhupen Hazarika,"Dil Hoom Hoom Kare (From ""Rudaali"") - Female Version",235493
2021-12-29 08:03,Camila Cabello,Don't Go Yet,164842
2021-12-29 08:07,Lady Gaga,Shallow - Radio Edit,217212
2021-12-29 08:11,Adele,All I Ask,271800
2021-12-29 08:15,Maren Morris,The Bones - with Hozier,197298
2021-12-29 08:18,Adele,Easy On Me,224694
2021-12-29 08:59,Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),245426
2021-12-29 09:02,Lea Salonga,A Whole New World,160800
2021-12-29 09:05,Camila Cabello,Shameless,219742
2021-12-29 09:09,Lady Gaga,Always Remember Us This Way,210200
2021-12-29 09:14,Adele,Love In The Dark,285935
2021-12-29 09:17,Taylor Swift,Begin Again (Taylor's Version),238866
2021-12-29 09:22,Adele,Someone Like You,285240
2021-12-29 09:26,Camila Cabello,Living Proof,194440
2021-12-29 09:30,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-29 09:36,Lata Mangeshkar,Mere Naina Sawan Bhadon- Lata Mangeshkar,408195
2021-12-29 09:40,Lorne Balfe,"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",248100
2021-12-29 09:46,Lata Mangeshkar,Aye-Dil-E-Nadan,339066
2021-12-29 09:49,Shawn Mendes,Señorita,190799
2021-12-29 09:53,Taylor Swift,willow,214706
2021-12-29 09:58,Céline Dion,I Surrender,287733
2021-12-29 10:02,Christina Perri,A Thousand Years,285120
2021-12-29 10:07,Adele,I'll Be Waiting,241351
2021-12-29 10:12,Taylor Swift,evermore (feat. Bon Iver),304106
2021-12-29 10:17,Lady Gaga,I'll Never Love Again - Extended Version,328893
2021-12-29 10:21,Taylor Swift,august,261922
2021-12-29 10:25,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",203660
2021-12-29 10:35,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-29 10:41,Lata Mangeshkar,Bhor Bhaye Panghat Pe,328866
2021-12-29 10:45,Taylor Swift,exile (feat. Bon Iver),237938
2021-12-29 10:45,Taylor Swift,exile (feat. Bon Iver),52860
