Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
23174274,"Glass Sword (Red Queen, #2)",Victoria Aveyard,0062310666,9780062310668,4,3.82,HarperTeen,444.0,2016.0,2016.0,2020-09-02,2020-09-01,"gave_up, unfinished_series, read",1
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,,,5,4.03,HarperTeen,388.0,2015.0,2015.0,2020-09-01,2020-08-31,"unfinished_series, read",1
12652457,"The Broken Eye (Lightbringer, #3)",Brent Weeks,,,4,4.46,Orbit,846.0,2014.0,2014.0,2021-05-07,2021-05-01,read,1
12499290,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,031607991X,9780316079914,5,4.42,Orbit,671.0,2012.0,2012.0,2021-05-04,2021-05-01,read,1
7165300,"The Black Prism (Lightbringer, #1)",Brent Weeks,0316075558,9780316075558,5,4.23,Orbit,629.0,2010.0,2010.0,2021-05-02,2021-05-01,read,1
20753341,"The Last Mortal Bond (Chronicle of the Unhewn Throne, #3)",Brian Staveley,,,0,4.06,Tor Books,897.0,2016.0,2016.0,,2021-05-01,to-read,0
22055280,"The Providence of Fire (Chronicle of the Unhewn Throne, #2)",Brian Staveley,0765336413,9780765336415,0,4.12,Tor Books,608.0,2015.0,2015.0,,2021-05-01,to-read,0
17910124,"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",Brian Staveley,0765336405,9780765336408,0,4.09,Tor Books,480.0,2014.0,2014.0,,2021-05-01,to-read,0
32726691,Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,,,4,4.02,Transworld Digital,282.0,2016.0,2017.0,2021-04-29,2021-03-20,"science, read",1
23127048,"Air Awakens (Air Awakens, #1)",Elise Kova,1932549935,9781932549935,4,4.01,Silver Wing Press,342.0,2015.0,2015.0,2021-04-23,2021-04-21,read,1
1888,Pride and Prejudice,Jane Austen,,,5,4.28,Oxford University Press,333.0,2004.0,1813.0,,2021-04-21,read,1
36307634,"King of Scars (King of Scars, #1)",Leigh Bardugo,,,5,4.17,Imprint,527.0,2019.0,2019.0,2021-03-15,2021-03-11,"favorites, books_worth_rereading, read",1
13612965,"The Bronze Key (Magisterium,  #3)",Holly Black,0545522315,9780545522311,5,4.09,Scholastic,249.0,2016.0,2016.0,2020-11-08,2020-11-08,"favorites, read",1
1166599,"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,0765302306,9780765302304,5,4.4,Tor Books,783.0,2009.0,2009.0,2020-08-08,2020-07-08,"books_worth_rereading, favorites, read",1
18635016,"The One (The Selection, #3)",Kiera Cass,0062059998,9780062059994,4,4.17,HarperTeen,323.0,2014.0,2014.0,2020-08-31,2020-08-30,"favorites, read",1
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,0345539788,9780345539786,5,4.26,Del Rey,382.0,2014.0,2014.0,2020-09-29,2020-09-24,"books_worth_rereading, favorites, read",1
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,,,5,4.3,Self-published,688.0,2009.0,2009.0,2020-06-27,2020-06-14,"books_worth_rereading, favorites, read",1
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,0765326361,9780765326362,5,4.75,Tor Books,1087.0,2014.0,2014.0,2020-06-14,2020-05-25,"books_worth_rereading, favorites, read",1
29579,"Foundation (Foundation, #1)",Isaac Asimov,0553803719,9780553803716,5,4.17,Bantam,244.0,2004.0,1951.0,2018-12-01,2020-02-26,"classics_read, books_worth_rereading, favorites, read",1
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,0765326353,9780765326355,5,4.65,Tor Books,1007.0,2010.0,2010.0,2020-06-09,2020-02-26,"books_worth_rereading, favorites, read",1
91476,"Grave Peril (The Dresden Files, #3)",Jim Butcher,0451458443,9780451458445,5,4.14,Roc,378.0,2001.0,2001.0,,2021-04-21,read,1
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,,,5,4.14,Orbit,400.0,2008.0,1993.0,,2021-04-21,read,1
14781491,"The Time of Contempt (The Witcher, #2)",Andrzej Sapkowski,0316219134,9780316219136,5,4.17,Orbit,331.0,2013.0,1995.0,,2021-04-21,read,1
17157681,"The Hobbit, Part One",J.R.R. Tolkien,,9780007926664,5,4.3,HarperCollins Children's Books,230.0,2012.0,1937.0,,2020-04-11,"classics_read, read",1
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,0553803700,9780553803709,4,4.21,Bantam Books,224.0,2004.0,1950.0,,2020-04-11,"classics_read, read",1
5326,A Christmas Carol,Charles Dickens,1561797464,9781561797462,4,4.07,Bethany House Publishers ,104.0,1999.0,1843.0,,2020-02-28,"classics_read, read",1
